niche_breadth_scaling_coef,m_immigration,m_immigration_black_mats,nu,dispersal_kernel_slope,i_sim
20,0.01,0.009,0.01,1e3,8201
1,0.005,0.001,0.001,1e5,8202
1,0.05,0.1,1e-4,1e5,8203
1,0.9,0.005,1e-4,1e4,8204
20,0.01,0.09,1e-6,1e4,8205
4,0.09,0.9,1e-4,1e4,8206
4,0.001,0.001,0.1,1e6,8207
20,0.09,0.1,0.1,100,8208
4,0.01,0.05,0.01,1e3,8209
1,0.09,0.09,1e-4,1e6,8210
20,0.9,0.001,0.01,1e5,8211
4,0.9,0.1,1e-6,1e3,8212
4,0.009,0.5,0.1,10,8213
20,0.005,0.001,1e-6,10,8214
20,0.01,0.001,1e-6,1e4,8215
1,0.005,0.5,1e-5,100,8216
4,0.9,0.09,1e-5,100,8217
1,0.009,0.5,0.01,100,8218
20,0.001,0.001,0.01,1e5,8219
1,0.09,0.5,0.001,1e6,8220
20,0.005,0.09,0.01,1e6,8221
1,0.05,0.09,0.01,100,8222
1,0.005,0.01,0.01,1e5,8223
1,0.9,0.05,1e-6,100,8224
4,0.005,0.5,0.1,100,8225
1,0.01,0.09,0.001,100,8226
1,0.005,0.01,1e-6,10,8227
4,0.01,0.1,0.001,100,8228
4,0.009,0.005,1e-6,1e6,8229
20,0.01,0.01,1e-5,1e4,8230
1,0.001,0.005,0.01,100,8231
4,0.5,0.05,0.1,10,8232
4,0.05,0.005,0.001,1e4,8233
20,0.009,0.01,0.01,100,8234
1,0.09,0.01,1e-4,100,8235
20,0.1,0.09,1e-6,1e6,8236
4,0.009,0.001,0.01,10,8237
20,0.1,0.01,0.1,1e4,8238
1,0.9,0.09,0.001,1e6,8239
20,0.9,0.01,1e-5,1e6,8240
1,0.01,0.009,0.1,1e5,8241
4,0.1,0.009,0.01,100,8242
1,0.001,0.05,0.01,1e3,8243
20,0.09,0.009,1e-5,1e3,8244
20,0.9,0.001,0.001,10,8245
4,0.01,0.09,1e-5,1e6,8246
1,0.01,0.5,0.001,1e5,8247
4,0.009,0.05,1e-5,100,8248
20,0.005,0.09,0.01,10,8249
4,0.001,0.5,0.1,100,8250
1,0.01,0.009,1e-5,1e5,8251
4,0.001,0.01,0.001,100,8252
4,0.009,0.005,0.01,1e4,8253
4,0.001,0.009,0.01,1e3,8254
1,0.1,0.001,0.1,100,8255
4,0.5,0.1,0.1,100,8256
1,0.005,0.01,1e-6,1e4,8257
20,0.09,0.001,0.1,10,8258
20,0.05,0.001,0.001,1e6,8259
20,0.1,0.005,1e-4,10,8260
4,0.001,0.1,0.001,1e3,8261
1,0.009,0.1,0.01,100,8262
1,0.005,0.09,0.001,1e5,8263
20,0.09,0.01,1e-5,1e6,8264
20,0.5,0.01,1e-6,100,8265
20,0.9,0.009,0.01,1e6,8266
1,0.01,0.5,0.1,10,8267
1,0.05,0.9,1e-6,1e6,8268
4,0.009,0.001,0.1,1e6,8269
1,0.5,0.5,0.01,100,8270
4,0.05,0.001,1e-5,1e3,8271
20,0.9,0.009,1e-6,1e5,8272
1,0.005,0.1,0.1,100,8273
4,0.005,0.5,0.1,100,8274
1,0.009,0.1,0.01,1e3,8275
4,0.9,0.009,1e-5,10,8276
20,0.01,0.9,1e-5,10,8277
1,0.09,0.009,0.1,10,8278
20,0.01,0.005,0.001,1e5,8279
1,0.01,0.05,1e-6,10,8280
1,0.1,0.09,1e-6,10,8281
1,0.09,0.001,1e-5,10,8282
4,0.01,0.01,0.001,10,8283
20,0.009,0.01,0.01,10,8284
1,0.5,0.9,1e-6,100,8285
20,0.01,0.009,1e-5,1e6,8286
20,0.005,0.05,0.1,100,8287
20,0.5,0.005,0.001,10,8288
4,0.01,0.9,1e-4,1e6,8289
4,0.001,0.5,0.1,100,8290
4,0.01,0.01,1e-5,1e4,8291
4,0.001,0.005,0.1,100,8292
20,0.009,0.1,0.001,1e5,8293
4,0.009,0.09,1e-5,1e6,8294
20,0.1,0.05,1e-5,1e6,8295
4,0.9,0.05,1e-4,1e5,8296
1,0.1,0.009,0.01,1e5,8297
20,0.005,0.09,1e-4,1e5,8298
20,0.01,0.01,1e-4,10,8299
4,0.01,0.9,0.01,100,8300
4,0.1,0.5,1e-4,1e6,8301
20,0.01,0.9,0.01,1e6,8302
20,0.001,0.09,0.001,1e5,8303
20,0.001,0.5,0.1,1e3,8304
1,0.1,0.9,0.01,1e3,8305
4,0.005,0.5,0.1,1e6,8306
20,0.05,0.5,1e-6,1e6,8307
20,0.9,0.009,0.1,1e3,8308
1,0.009,0.005,1e-5,1e5,8309
1,0.005,0.09,1e-6,10,8310
4,0.005,0.05,1e-4,100,8311
4,0.009,0.009,0.1,100,8312
1,0.09,0.01,0.01,1e3,8313
4,0.05,0.1,1e-4,1e3,8314
4,0.01,0.01,1e-4,1e6,8315
4,0.5,0.1,1e-6,1e3,8316
20,0.05,0.005,1e-4,1e3,8317
20,0.05,0.09,0.01,1e4,8318
20,0.9,0.9,0.01,10,8319
4,0.001,0.09,0.001,10,8320
20,0.005,0.9,0.001,1e4,8321
20,0.01,0.1,1e-6,1e5,8322
1,0.01,0.5,0.001,10,8323
1,0.009,0.9,1e-5,10,8324
20,0.09,0.5,0.001,1e4,8325
4,0.9,0.01,0.001,10,8326
20,0.01,0.01,1e-6,1e4,8327
1,0.09,0.09,0.01,10,8328
1,0.9,0.9,1e-4,1e6,8329
4,0.05,0.09,0.01,1e5,8330
4,0.1,0.05,0.01,10,8331
20,0.009,0.01,1e-6,1e3,8332
1,0.005,0.9,1e-6,10,8333
4,0.005,0.001,0.1,1e4,8334
20,0.005,0.01,1e-5,1e5,8335
4,0.01,0.001,1e-4,1e5,8336
1,0.1,0.9,1e-6,1e6,8337
4,0.09,0.9,0.1,10,8338
4,0.5,0.9,1e-4,10,8339
1,0.1,0.1,1e-5,100,8340
1,0.9,0.9,0.1,10,8341
1,0.01,0.5,0.001,1e3,8342
20,0.01,0.005,0.001,1e5,8343
20,0.001,0.009,1e-5,1e6,8344
1,0.01,0.005,1e-4,1e3,8345
1,0.09,0.09,0.1,1e4,8346
1,0.05,0.05,1e-5,1e4,8347
20,0.5,0.001,0.1,1e6,8348
1,0.01,0.05,1e-6,1e5,8349
4,0.09,0.9,1e-5,10,8350
1,0.01,0.5,0.001,1e5,8351
1,0.9,0.09,1e-6,1e5,8352
4,0.05,0.009,1e-4,1e6,8353
4,0.001,0.005,0.001,1e6,8354
1,0.05,0.9,1e-5,1e6,8355
4,0.001,0.05,1e-6,1e4,8356
20,0.05,0.009,0.001,1e6,8357
20,0.09,0.009,1e-6,1e6,8358
4,0.001,0.009,1e-4,1e5,8359
20,0.001,0.5,0.1,10,8360
1,0.005,0.001,0.01,10,8361
4,0.009,0.05,1e-4,1e4,8362
4,0.01,0.01,1e-4,1e5,8363
20,0.05,0.005,0.001,1e6,8364
4,0.009,0.01,1e-5,1e6,8365
1,0.9,0.001,0.1,100,8366
4,0.01,0.01,1e-4,100,8367
4,0.1,0.005,1e-4,100,8368
4,0.001,0.9,0.001,1e4,8369
1,0.09,0.1,1e-4,1e5,8370
4,0.001,0.1,0.01,1e5,8371
20,0.001,0.9,0.001,1e4,8372
4,0.01,0.001,1e-6,100,8373
1,0.001,0.9,1e-4,1e4,8374
4,0.01,0.09,1e-4,100,8375
4,0.1,0.009,0.1,100,8376
4,0.009,0.005,1e-4,10,8377
4,0.9,0.09,1e-5,1e3,8378
1,0.09,0.01,0.1,1e6,8379
4,0.09,0.009,0.01,1e5,8380
20,0.9,0.1,0.1,10,8381
1,0.01,0.5,1e-6,1e6,8382
1,0.001,0.005,1e-4,10,8383
1,0.9,0.005,1e-4,1e6,8384
20,0.1,0.1,0.01,10,8385
1,0.05,0.01,1e-5,100,8386
1,0.001,0.001,0.001,1e6,8387
4,0.005,0.05,1e-6,1e3,8388
20,0.9,0.001,1e-4,1e6,8389
20,0.01,0.1,1e-6,1e5,8390
1,0.05,0.09,0.01,1e3,8391
4,0.01,0.05,1e-6,1e5,8392
1,0.009,0.5,1e-4,1e5,8393
4,0.1,0.05,1e-6,1e6,8394
4,0.1,0.5,0.1,100,8395
20,0.005,0.5,0.1,1e3,8396
4,0.001,0.09,0.01,100,8397
1,0.5,0.009,0.1,100,8398
20,0.9,0.009,1e-6,1e5,8399
4,0.09,0.09,0.001,1e4,8400
20,0.09,0.01,1e-6,10,8401
1,0.001,0.05,1e-6,1e3,8402
20,0.9,0.005,0.1,100,8403
4,0.9,0.01,0.01,1e4,8404
4,0.01,0.05,1e-5,10,8405
20,0.5,0.5,0.01,1e6,8406
4,0.01,0.9,0.001,1e4,8407
4,0.5,0.005,1e-6,1e4,8408
1,0.1,0.05,1e-5,1e5,8409
1,0.5,0.009,0.01,100,8410
20,0.009,0.1,0.01,1e6,8411
20,0.05,0.01,1e-4,1e3,8412
20,0.01,0.1,0.1,1e4,8413
4,0.1,0.1,0.001,1e5,8414
20,0.09,0.5,0.01,10,8415
4,0.05,0.1,0.1,1e5,8416
1,0.01,0.005,0.01,1e5,8417
20,0.001,0.001,0.001,100,8418
1,0.01,0.01,0.1,1e3,8419
4,0.1,0.09,0.001,1e3,8420
4,0.001,0.1,1e-4,1e3,8421
1,0.009,0.009,1e-4,1e4,8422
1,0.005,0.9,0.1,10,8423
20,0.9,0.5,1e-5,1e5,8424
1,0.005,0.5,1e-4,1e4,8425
1,0.1,0.009,0.01,1e4,8426
1,0.001,0.1,1e-5,100,8427
4,0.05,0.05,0.01,1e5,8428
4,0.1,0.01,1e-6,100,8429
4,0.9,0.001,1e-6,1e3,8430
4,0.09,0.009,0.001,1e5,8431
1,0.009,0.009,0.001,100,8432
20,0.009,0.9,0.001,10,8433
4,0.09,0.5,1e-5,1e5,8434
20,0.09,0.05,0.01,10,8435
4,0.1,0.5,1e-5,1e5,8436
4,0.09,0.005,1e-6,1e6,8437
1,0.1,0.001,0.001,1e6,8438
1,0.01,0.5,1e-6,10,8439
1,0.01,0.005,1e-6,1e5,8440
4,0.5,0.009,0.1,100,8441
4,0.001,0.1,0.001,10,8442
4,0.001,0.09,1e-6,1e4,8443
4,0.01,0.009,1e-6,1e4,8444
1,0.01,0.05,0.01,100,8445
20,0.009,0.1,1e-4,1e6,8446
4,0.5,0.005,1e-5,1e5,8447
4,0.009,0.005,1e-5,1e5,8448
4,0.5,0.9,0.01,1e3,8449
20,0.9,0.05,0.01,10,8450
4,0.1,0.9,0.1,100,8451
4,0.1,0.5,1e-5,1e6,8452
1,0.9,0.05,1e-5,1e6,8453
4,0.009,0.05,1e-5,1e5,8454
4,0.09,0.05,0.01,100,8455
20,0.9,0.05,0.001,1e5,8456
20,0.001,0.1,1e-5,1e4,8457
4,0.05,0.001,0.1,1e6,8458
1,0.9,0.009,1e-4,1e6,8459
4,0.1,0.09,1e-6,1e4,8460
1,0.005,0.005,0.01,10,8461
1,0.005,0.01,0.1,1e6,8462
20,0.001,0.5,1e-4,100,8463
20,0.009,0.005,1e-4,1e3,8464
20,0.05,0.9,1e-4,1e4,8465
4,0.5,0.9,0.01,100,8466
1,0.05,0.1,0.1,100,8467
1,0.1,0.9,0.1,1e6,8468
20,0.9,0.009,0.01,1e4,8469
4,0.1,0.5,1e-6,1e6,8470
1,0.009,0.09,1e-4,100,8471
20,0.1,0.005,0.1,1e4,8472
1,0.1,0.005,0.01,1e4,8473
20,0.09,0.005,1e-5,1e6,8474
4,0.005,0.1,0.001,10,8475
20,0.001,0.005,0.1,100,8476
1,0.5,0.05,0.1,1e4,8477
20,0.001,0.09,1e-4,1e6,8478
20,0.5,0.009,1e-5,1e6,8479
20,0.5,0.09,1e-6,1e6,8480
20,0.5,0.01,1e-4,100,8481
4,0.9,0.009,1e-5,1e4,8482
1,0.001,0.005,1e-6,1e3,8483
20,0.9,0.5,0.1,1e3,8484
20,0.05,0.01,0.01,1e3,8485
4,0.001,0.01,1e-5,1e4,8486
1,0.001,0.9,0.1,100,8487
20,0.09,0.1,1e-5,1e5,8488
1,0.5,0.009,1e-6,1e5,8489
4,0.01,0.9,0.001,1e5,8490
1,0.05,0.9,1e-5,10,8491
1,0.9,0.09,1e-4,1e3,8492
4,0.001,0.001,0.001,100,8493
20,0.05,0.01,1e-4,1e5,8494
4,0.05,0.1,1e-5,1e6,8495
1,0.005,0.005,0.001,1e6,8496
4,0.01,0.9,0.01,1e3,8497
4,0.009,0.009,0.1,1e6,8498
4,0.5,0.05,1e-6,100,8499
20,0.009,0.1,0.01,100,8500
1,0.001,0.9,0.1,10,8501
4,0.5,0.9,0.1,1e5,8502
4,0.1,0.009,0.01,1e3,8503
20,0.09,0.005,0.1,1e3,8504
1,0.1,0.1,0.01,1e5,8505
1,0.09,0.1,1e-6,10,8506
4,0.09,0.5,1e-4,1e3,8507
1,0.05,0.9,0.1,10,8508
1,0.9,0.1,0.1,1e4,8509
4,0.009,0.1,0.01,1e3,8510
20,0.009,0.001,0.1,1e6,8511
4,0.05,0.005,0.001,1e4,8512
20,0.001,0.09,1e-5,1e4,8513
1,0.001,0.05,1e-6,10,8514
1,0.05,0.1,1e-6,10,8515
20,0.05,0.9,0.001,100,8516
20,0.01,0.001,1e-6,1e4,8517
20,0.9,0.009,1e-4,10,8518
20,0.05,0.5,0.1,1e6,8519
4,0.001,0.005,1e-5,1e3,8520
20,0.005,0.9,0.1,1e5,8521
4,0.05,0.1,1e-6,1e3,8522
20,0.5,0.5,1e-5,1e6,8523
1,0.9,0.1,1e-4,1e6,8524
20,0.5,0.009,0.001,1e6,8525
4,0.009,0.9,0.1,1e4,8526
4,0.05,0.001,1e-4,100,8527
20,0.09,0.05,0.1,1e6,8528
1,0.009,0.001,1e-4,100,8529
1,0.001,0.01,0.1,1e6,8530
20,0.005,0.1,1e-6,1e4,8531
4,0.5,0.1,1e-5,1e4,8532
4,0.5,0.009,0.01,1e3,8533
20,0.09,0.5,0.1,1e4,8534
4,0.09,0.01,1e-6,1e5,8535
20,0.005,0.1,1e-6,1e4,8536
1,0.1,0.001,0.01,1e4,8537
1,0.001,0.05,0.001,1e3,8538
1,0.1,0.01,1e-6,1e4,8539
1,0.01,0.05,1e-4,1e4,8540
20,0.009,0.009,1e-5,100,8541
1,0.09,0.05,1e-6,1e5,8542
4,0.5,0.1,0.01,100,8543
20,0.1,0.9,1e-6,100,8544
4,0.5,0.1,0.01,1e5,8545
1,0.005,0.05,1e-6,100,8546
1,0.09,0.005,0.001,1e6,8547
20,0.001,0.1,0.01,100,8548
4,0.5,0.05,1e-4,1e5,8549
20,0.05,0.1,0.1,1e3,8550
1,0.005,0.009,0.01,10,8551
4,0.1,0.001,1e-5,10,8552
1,0.1,0.09,0.01,100,8553
1,0.1,0.5,0.001,1e4,8554
20,0.005,0.01,0.1,1e4,8555
4,0.001,0.01,1e-5,10,8556
20,0.009,0.005,0.01,1e5,8557
20,0.005,0.001,1e-5,1e6,8558
4,0.05,0.009,1e-6,1e4,8559
1,0.09,0.005,0.01,1e4,8560
4,0.9,0.01,1e-4,100,8561
4,0.009,0.01,0.001,1e6,8562
4,0.005,0.1,1e-6,1e3,8563
20,0.5,0.005,0.001,1e5,8564
4,0.05,0.005,0.01,100,8565
1,0.09,0.05,0.1,1e3,8566
1,0.5,0.001,1e-6,1e4,8567
1,0.1,0.9,0.1,1e6,8568
4,0.001,0.01,1e-6,1e4,8569
1,0.01,0.01,0.001,1e5,8570
4,0.001,0.009,1e-6,1e5,8571
20,0.9,0.005,1e-5,1e5,8572
4,0.1,0.005,0.1,1e6,8573
1,0.01,0.001,0.01,1e6,8574
4,0.001,0.9,0.01,10,8575
20,0.001,0.001,1e-4,1e5,8576
20,0.9,0.009,0.1,1e3,8577
20,0.1,0.01,0.001,1e4,8578
1,0.09,0.005,0.001,1e3,8579
1,0.005,0.9,0.1,1e6,8580
1,0.001,0.1,0.1,100,8581
4,0.01,0.9,1e-6,1e6,8582
20,0.1,0.05,0.1,100,8583
20,0.5,0.9,1e-5,10,8584
4,0.001,0.09,1e-4,1e3,8585
4,0.01,0.09,0.01,1e6,8586
4,0.005,0.01,0.01,1e5,8587
1,0.5,0.5,0.001,1e3,8588
1,0.001,0.005,1e-4,1e5,8589
1,0.9,0.009,1e-4,10,8590
1,0.01,0.05,1e-4,1e6,8591
20,0.1,0.09,1e-5,100,8592
4,0.1,0.005,0.01,10,8593
4,0.1,0.09,1e-6,100,8594
20,0.001,0.05,0.1,1e6,8595
20,0.5,0.9,1e-6,1e4,8596
1,0.1,0.05,1e-4,1e4,8597
4,0.09,0.05,1e-4,1e4,8598
20,0.9,0.09,0.001,1e6,8599
4,0.09,0.09,0.001,1e4,8600
20,0.09,0.9,1e-6,10,8601
1,0.01,0.1,0.001,1e6,8602
4,0.9,0.9,0.1,100,8603
1,0.001,0.01,1e-4,1e6,8604
20,0.005,0.001,1e-6,100,8605
1,0.5,0.009,0.01,1e5,8606
4,0.005,0.05,0.01,1e3,8607
20,0.05,0.09,0.01,1e4,8608
4,0.1,0.9,1e-6,1e6,8609
20,0.001,0.09,1e-6,1e4,8610
20,0.05,0.1,0.001,1e5,8611
4,0.009,0.5,1e-6,1e4,8612
4,0.9,0.009,1e-4,1e3,8613
20,0.05,0.005,0.1,100,8614
20,0.05,0.1,0.01,1e5,8615
4,0.1,0.001,1e-4,1e5,8616
1,0.1,0.5,1e-6,10,8617
20,0.09,0.09,0.1,1e4,8618
1,0.5,0.9,1e-4,1e6,8619
4,0.05,0.001,0.001,10,8620
4,0.05,0.005,0.1,10,8621
1,0.001,0.5,1e-4,1e3,8622
20,0.05,0.09,0.001,1e5,8623
20,0.01,0.9,0.01,1e3,8624
4,0.009,0.5,1e-4,1e5,8625
1,0.01,0.001,0.1,1e4,8626
4,0.001,0.9,0.01,100,8627
20,0.01,0.009,0.1,100,8628
1,0.005,0.1,1e-5,10,8629
4,0.009,0.1,1e-6,100,8630
1,0.05,0.05,1e-5,10,8631
4,0.09,0.005,1e-6,1e5,8632
20,0.01,0.5,1e-6,1e3,8633
20,0.009,0.5,0.1,1e6,8634
4,0.009,0.005,1e-6,1e4,8635
1,0.009,0.005,1e-4,1e6,8636
4,0.1,0.005,0.01,100,8637
20,0.9,0.9,0.1,1e4,8638
4,0.001,0.009,0.001,100,8639
4,0.05,0.5,0.001,1e6,8640
1,0.05,0.005,0.01,1e4,8641
20,0.5,0.05,0.1,1e5,8642
1,0.05,0.09,1e-4,100,8643
20,0.5,0.001,1e-4,1e5,8644
20,0.1,0.01,1e-6,1e4,8645
4,0.009,0.009,1e-6,100,8646
1,0.005,0.5,1e-5,1e5,8647
1,0.009,0.5,0.01,100,8648
1,0.05,0.5,0.01,1e5,8649
1,0.005,0.1,1e-4,100,8650
1,0.09,0.5,0.1,1e4,8651
20,0.1,0.005,1e-4,1e4,8652
4,0.005,0.09,1e-4,1e5,8653
20,0.9,0.01,0.1,1e6,8654
4,0.001,0.001,0.01,1e5,8655
20,0.05,0.009,1e-6,1e5,8656
4,0.005,0.1,1e-4,100,8657
20,0.009,0.9,1e-6,100,8658
20,0.05,0.009,1e-6,1e4,8659
20,0.5,0.001,1e-4,1e6,8660
1,0.9,0.05,0.01,1e5,8661
4,0.005,0.05,0.1,100,8662
4,0.9,0.009,1e-4,100,8663
20,0.005,0.009,0.1,1e4,8664
1,0.5,0.05,1e-6,10,8665
1,0.1,0.005,1e-4,1e3,8666
4,0.005,0.09,0.01,1e6,8667
20,0.001,0.001,0.1,10,8668
20,0.001,0.001,0.1,100,8669
20,0.5,0.05,1e-5,1e5,8670
20,0.005,0.005,0.01,100,8671
1,0.001,0.1,1e-4,1e3,8672
20,0.9,0.09,0.1,10,8673
4,0.09,0.5,1e-6,1e6,8674
20,0.001,0.001,0.1,1e5,8675
4,0.1,0.09,1e-6,1e3,8676
20,0.009,0.01,1e-6,1e3,8677
4,0.005,0.009,0.001,1e6,8678
20,0.005,0.005,0.01,1e4,8679
1,0.09,0.001,1e-4,1e5,8680
1,0.01,0.01,0.001,1e4,8681
20,0.05,0.005,0.01,100,8682
20,0.01,0.09,1e-5,1e4,8683
20,0.05,0.001,0.01,1e5,8684
4,0.1,0.001,1e-5,1e6,8685
20,0.009,0.1,0.1,100,8686
20,0.001,0.01,0.01,1e5,8687
20,0.001,0.9,0.01,1e5,8688
20,0.01,0.009,0.001,10,8689
1,0.005,0.001,0.001,1e4,8690
20,0.5,0.009,1e-4,1e4,8691
1,0.5,0.005,0.01,1e4,8692
1,0.001,0.001,1e-6,1e4,8693
4,0.9,0.09,0.001,1e3,8694
20,0.9,0.9,0.01,1e5,8695
4,0.5,0.05,1e-4,1e6,8696
4,0.009,0.05,0.001,1e6,8697
1,0.01,0.005,1e-5,1e3,8698
4,0.01,0.005,0.01,100,8699
20,0.05,0.009,0.01,1e6,8700
20,0.9,0.001,1e-5,1e5,8701
4,0.09,0.9,1e-4,100,8702
4,0.001,0.009,1e-5,1e6,8703
1,0.09,0.001,1e-4,1e3,8704
4,0.1,0.001,0.001,1e5,8705
4,0.09,0.9,0.001,1e6,8706
4,0.5,0.05,1e-5,10,8707
4,0.5,0.001,0.01,100,8708
1,0.1,0.009,0.01,1e3,8709
4,0.01,0.005,1e-6,10,8710
1,0.09,0.9,0.001,100,8711
4,0.09,0.005,1e-5,1e3,8712
1,0.1,0.009,0.001,1e3,8713
1,0.05,0.09,1e-6,10,8714
20,0.09,0.001,1e-4,100,8715
4,0.005,0.05,0.1,1e4,8716
4,0.5,0.005,0.01,10,8717
20,0.05,0.09,0.01,1e3,8718
1,0.009,0.001,0.01,1e5,8719
1,0.001,0.01,1e-6,1e5,8720
20,0.09,0.5,1e-5,1e6,8721
1,0.9,0.001,0.01,1e3,8722
20,0.009,0.01,0.1,1e5,8723
20,0.05,0.05,0.1,1e4,8724
20,0.05,0.05,1e-4,1e4,8725
20,0.9,0.009,0.01,1e5,8726
20,0.001,0.09,1e-5,1e4,8727
1,0.05,0.001,0.1,1e3,8728
1,0.001,0.001,1e-4,1e6,8729
1,0.009,0.05,1e-5,1e4,8730
4,0.01,0.5,1e-6,1e4,8731
20,0.005,0.005,1e-5,10,8732
20,0.5,0.005,0.001,1e5,8733
20,0.09,0.09,0.001,1e6,8734
1,0.001,0.9,1e-4,10,8735
20,0.9,0.5,1e-5,1e6,8736
20,0.5,0.001,0.01,1e4,8737
4,0.005,0.009,0.01,1e3,8738
20,0.5,0.1,0.01,1e3,8739
4,0.05,0.005,0.001,1e4,8740
20,0.009,0.001,1e-4,1e4,8741
1,0.005,0.05,1e-5,1e4,8742
4,0.1,0.1,0.01,100,8743
4,0.09,0.9,0.001,10,8744
1,0.001,0.001,1e-4,10,8745
20,0.9,0.005,1e-5,1e3,8746
20,0.001,0.005,0.1,1e4,8747
1,0.5,0.005,1e-5,10,8748
20,0.05,0.05,0.01,1e4,8749
1,0.9,0.05,0.01,10,8750
4,0.09,0.05,1e-4,1e4,8751
4,0.009,0.009,0.001,1e3,8752
1,0.5,0.09,1e-5,1e3,8753
1,0.001,0.5,0.01,1e3,8754
20,0.009,0.001,1e-5,100,8755
4,0.001,0.09,1e-4,1e4,8756
20,0.009,0.05,0.1,10,8757
1,0.1,0.009,1e-4,1e5,8758
1,0.09,0.9,0.1,1e5,8759
20,0.05,0.005,1e-5,10,8760
1,0.9,0.01,1e-4,1e3,8761
20,0.009,0.9,0.001,100,8762
4,0.009,0.01,1e-6,10,8763
4,0.001,0.01,0.1,1e5,8764
20,0.009,0.9,0.01,1e3,8765
4,0.009,0.005,1e-6,1e4,8766
20,0.9,0.09,0.001,1e3,8767
4,0.05,0.9,0.001,1e5,8768
1,0.001,0.001,0.1,1e3,8769
1,0.1,0.9,1e-4,1e4,8770
1,0.05,0.1,1e-4,10,8771
4,0.01,0.009,0.01,1e6,8772
20,0.009,0.01,0.1,100,8773
1,0.01,0.5,0.01,100,8774
4,0.009,0.5,0.001,1e4,8775
1,0.009,0.005,1e-6,1e3,8776
20,0.009,0.05,0.1,100,8777
1,0.05,0.005,0.01,10,8778
1,0.009,0.005,1e-5,1e4,8779
20,0.1,0.1,1e-5,1e4,8780
4,0.1,0.05,0.001,1e4,8781
20,0.05,0.001,0.1,100,8782
4,0.1,0.9,1e-5,1e3,8783
20,0.05,0.01,1e-6,1e4,8784
1,0.1,0.009,0.01,1e6,8785
20,0.05,0.001,1e-5,100,8786
20,0.1,0.05,1e-5,10,8787
1,0.009,0.09,0.1,1e4,8788
1,0.05,0.5,0.01,1e5,8789
1,0.9,0.1,1e-5,1e6,8790
20,0.05,0.9,1e-6,1e5,8791
4,0.001,0.09,0.001,1e3,8792
4,0.05,0.005,1e-5,1e5,8793
4,0.9,0.05,0.1,1e6,8794
1,0.009,0.9,0.001,1e3,8795
1,0.1,0.001,0.001,1e5,8796
20,0.009,0.5,0.1,10,8797
1,0.5,0.9,0.01,1e5,8798
4,0.001,0.001,1e-4,100,8799
20,0.005,0.005,0.1,1e5,8800
4,0.9,0.5,0.001,100,8801
4,0.001,0.001,1e-4,100,8802
20,0.09,0.9,1e-4,1e4,8803
4,0.1,0.9,0.001,100,8804
4,0.1,0.001,0.001,1e6,8805
4,0.005,0.09,1e-4,1e3,8806
4,0.01,0.09,1e-4,1e3,8807
20,0.009,0.09,1e-4,1e3,8808
1,0.9,0.5,0.1,1e4,8809
20,0.005,0.05,0.01,1e5,8810
20,0.01,0.9,1e-4,1e4,8811
1,0.05,0.9,1e-6,1e4,8812
1,0.5,0.001,1e-4,1e6,8813
4,0.005,0.1,0.01,1e5,8814
4,0.009,0.9,1e-5,10,8815
4,0.01,0.09,1e-6,1e4,8816
4,0.09,0.5,0.001,1e6,8817
4,0.5,0.009,1e-6,100,8818
4,0.009,0.001,0.01,1e4,8819
20,0.005,0.05,0.001,10,8820
20,0.9,0.005,0.01,1e5,8821
4,0.9,0.01,0.001,1e5,8822
4,0.5,0.009,0.001,1e6,8823
4,0.005,0.1,1e-4,1e6,8824
4,0.001,0.005,1e-6,1e4,8825
20,0.01,0.05,0.01,1e6,8826
20,0.09,0.5,1e-5,1e6,8827
20,0.5,0.009,0.01,10,8828
1,0.09,0.005,0.1,1e6,8829
1,0.5,0.009,1e-6,10,8830
1,0.001,0.001,0.01,1e5,8831
1,0.5,0.09,0.001,1e6,8832
4,0.1,0.9,0.01,1e3,8833
4,0.01,0.01,0.01,1e3,8834
20,0.9,0.05,1e-4,1e4,8835
1,0.5,0.005,1e-6,10,8836
1,0.9,0.001,1e-4,10,8837
1,0.5,0.01,0.001,1e3,8838
1,0.5,0.1,1e-6,100,8839
4,0.005,0.005,0.001,1e6,8840
4,0.005,0.05,0.1,10,8841
20,0.009,0.009,0.001,100,8842
4,0.1,0.005,1e-6,1e4,8843
1,0.09,0.1,0.01,1e5,8844
1,0.1,0.5,0.001,10,8845
20,0.09,0.001,1e-4,100,8846
4,0.01,0.009,0.1,10,8847
20,0.05,0.009,0.001,100,8848
4,0.005,0.05,1e-4,100,8849
1,0.005,0.5,1e-5,1e6,8850
4,0.5,0.009,0.1,1e6,8851
1,0.005,0.09,0.001,1e4,8852
1,0.1,0.1,0.001,1e5,8853
20,0.09,0.009,1e-4,1e5,8854
1,0.005,0.05,1e-6,100,8855
1,0.1,0.09,0.1,1e3,8856
1,0.005,0.001,0.01,1e5,8857
20,0.5,0.009,1e-6,100,8858
20,0.005,0.009,0.001,1e4,8859
4,0.9,0.005,0.001,1e5,8860
1,0.05,0.009,1e-4,1e3,8861
20,0.05,0.01,1e-6,1e6,8862
4,0.009,0.001,1e-5,1e5,8863
20,0.9,0.9,0.1,1e5,8864
1,0.09,0.009,1e-6,100,8865
1,0.5,0.1,1e-6,1e3,8866
4,0.1,0.01,1e-6,100,8867
20,0.09,0.5,1e-6,10,8868
1,0.009,0.5,0.01,1e5,8869
4,0.05,0.9,1e-5,1e6,8870
